Anchorage AK	743
Fairbanks AK	745
Juneau AK	747
Birmingham AL	630
Dothan AL	606
Huntsville-Decatur (Florence) AL	691
Mobile AL-Pensacola (Ft. Walton Beach) FL	686
Montgomery (Selma) AL	698
Ft. Smith-Fayetteville-Springdale-Rogers AR	670
Jonesboro AR	734
Little Rock-Pine Bluff AR	693
Monroe LA-El Dorado AR	628
Phoenix AZ	753
Tucson (Sierra Vista) AZ	789
Yuma AZ-El Centro CA	771
Bakersfield CA	800
Chico-Redding CA	868
Eureka CA	802
Fresno-Visalia CA	866
Los Angeles CA	803
Monterey-Salinas CA	828
Palm Springs CA	804
Sacramento-Stockton-Modesto CA	862
San Diego CA	825
San Francisco-Oakland-San Jose CA	807
Santa Barbara-Santa Maria-San Luis Obispo CA	855
Yuma AZ-El Centro CA	771
Colorado Springs-Pueblo CO	752
Denver CO	751
Grand Junction-Montrose CO	773
Hartford & New Haven CT	533
Washington DC (Hagerstown MD)	511
Ft. Myers-Naples FL	571
Gainesville FL	592
Jacksonville FL	561
Miami-Ft. Lauderdale FL	528
Mobile AL-Pensacola (Ft. Walton Beach) FL	686
Orlando-Daytona Beach-Melbourne FL	534
Panama City FL	656
Tallahassee FL-Thomasville GA	530
Tampa-St. Petersburg (Sarasota) FL	539
West Palm Beach-Ft. Pierce FL	548
Albany GA	525
Atlanta GA	524
Augusta GA	520
Columbus GA	522
Macon GA	503
Savannah GA	507
Tallahassee FL-Thomasville GA	530
Honolulu HI	744
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637
Davenport IA-Rock Island-Moline IL	682
Des Moines-Ames IA	679
Ottumwa IA-Kirksville MO	631
Quincy IL-Hannibal MO-Keokuk IA	717
Rochester MN-Mason City IA-Austin MN	611
Sioux City IA	624
Boise ID	757
Idaho Falls-Pocatello ID	758
Twin Falls ID	760
Champaign & Springfield-Decatur,IL	648
Chicago IL	602
Davenport IA-Rock Island-Moline IL	682
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632
Peoria-Bloomington IL	675
Quincy IL-Hannibal MO-Keokuk IA	717
Rockford IL	610
Evansville IN	649
Ft. Wayne IN	509
Indianapolis IN	527
Lafayette IN	582
South Bend-Elkhart IN	588
Terre Haute IN	581
Joplin MO-Pittsburg KS	603
Topeka KS	605
Wichita-Hutchinson KS	678
Bowling Green KY	736
Lexington KY	541
Louisville KY	529
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632
Alexandria LA	644
Baton Rouge LA	716
Lafayette LA	642
Lake Charles LA	643
Monroe LA-El Dorado AR	628
New Orleans LA	622
Shreveport LA	612
Boston MA-Manchester NH	506
Providence RI-New Bedford MA	521
Springfield-Holyoke MA	543
Baltimore MD	512
Salisbury MD	576
Washington DC (Hagerstown MD)	511
Bangor ME	537
Portland-Auburn ME	500
Presque Isle ME	552
Alpena MI	583
Detroit MI	505
Flint-Saginaw-Bay City MI	513
Grand Rapids-Kalamazoo-Battle Creek MI	563
Lansing MI	551
Marquette MI	553
Traverse City-Cadillac MI	540
Duluth MN-Superior WI	676
Mankato MN	737
Minneapolis-St. Paul MN	613
